Section,Portal,Module,Task / Feature,Status,Pri,Route / Page,API Endpoint(s)
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,All,Auth,"Profile update (title, name, phone, DOB, gender, bio, job, dept, locale, timezone)",Done,1,/profile,PATCH /api/v1/auth/me
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,All,RBAC,useRoleAccess hook (owner>admin>member hierarchy) for page/component/action gating,Done,1,features/auth/hooks/useRoleAccess.js,-
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,All,UI,"DataTable - reusable, responsive, client-side sortable, paginated",Done,1,components/ui/DataTable.jsx,-
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,All,UI,"Pagination - reusable, meta-driven, rows-per-page selector",Done,1,components/ui/Pagination.jsx,-
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,All,UI,TabNav - reusable vertical/horizontal responsive tabs,Done,1,components/ui/TabNav.jsx,-
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,All,UI,PageSubheader - reusable dashboard page hero,Done,1,components/ui/PageSubheader.jsx,-
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,All,UI,EmptyState - reusable no-content component,Done,1,components/ui/EmptyState.jsx,-
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,All,UI,Modal - footer support for titleless confirm dialogs (revoke fix),Done,1,components/ui/Modal.jsx,-
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,All,Design,Tightened radius design-token scale (uniform across product),Done,2,assets/css/globals.css,-
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,Employer,Invitations,Send invitation (email + role; apprentice role -> portal override),Done,1,/settings/invitations,POST /api/v1/invitations
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,Employer,Invitations,"List pending invitations - paginated, sortable, per-page, invited-by name+email",Done,1,/settings/invitations,GET /api/v1/invitations?page=&perPage=
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,Employer,Invitations,Resend invitation,Done,1,/settings/invitations,POST /api/v1/invitations/:id/resend
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,Employer,Invitations,Revoke invitation (confirm dialog),Done,1,/settings/invitations,DELETE /api/v1/invitations/:id
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,Employer,Invitations,"Accept invitation (auth-protected, token from email)",Done,1,/accept-invitation,POST /api/v1/invitations/accept
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,Employer,Organisation,Update organisation details (owner-only),Done,1,/settings/organisation,PATCH /api/v1/organisations/:id
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,Employer,Settings,"Path-based settings tabs (Organisation/Invitations/Notifications), owner-gated",Done,1,/settings/[tab],-
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,Provider,Invitations,Send invitation (email + role; apprentice role -> portal override),Done,1,/settings/invitations,POST /api/v1/invitations
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,Provider,Invitations,"List pending invitations - paginated, sortable, per-page, invited-by name+email",Done,1,/settings/invitations,GET /api/v1/invitations?page=&perPage=
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,Provider,Invitations,Resend invitation,Done,1,/settings/invitations,POST /api/v1/invitations/:id/resend
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,Provider,Invitations,Revoke invitation (confirm dialog),Done,1,/settings/invitations,DELETE /api/v1/invitations/:id
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,Provider,Invitations,"Accept invitation (auth-protected, token from email)",Done,1,/accept-invitation,POST /api/v1/invitations/accept
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,Provider,Organisation,Update organisation details (owner-only),Done,1,/settings/organisation,PATCH /api/v1/organisations/:id
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,Provider,Settings,"Path-based settings tabs (Organisation/Invitations/Notifications), owner-gated",Done,1,/settings/[tab],-
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,Flow,Invitations,Send invitation (email + role; apprentice role -> portal override),Done,1,/settings/invitations,POST /api/v1/invitations
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,Flow,Invitations,"List pending invitations - paginated, sortable, per-page, invited-by name+email",Done,1,/settings/invitations,GET /api/v1/invitations?page=&perPage=
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,Flow,Invitations,Resend invitation,Done,1,/settings/invitations,POST /api/v1/invitations/:id/resend
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,Flow,Invitations,Revoke invitation (confirm dialog),Done,1,/settings/invitations,DELETE /api/v1/invitations/:id
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,Flow,Invitations,"Accept invitation (auth-protected, token from email)",Done,1,/accept-invitation,POST /api/v1/invitations/accept
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,Flow,Organisation,Update organisation details (owner-only),Done,1,/settings/organisation,PATCH /api/v1/organisations/:id
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,Flow,Settings,"Path-based settings tabs (Organisation/Invitations/Notifications), owner-gated",Done,1,/settings/[tab],-
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,Apprentice,Invitations,"Accept invitation (auth-protected, token from email)",Done,1,/accept-invitation,POST /api/v1/invitations/accept
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,Apprentice,Dashboard,Organisation card on dashboard (org the learner belongs to),Done,2,/,GET /api/v1/auth/me
SHARED - All Portals,All,Infrastructure,BFF proxy route (request forwarding),Done,1,/api/proxy/[...path],-
SHARED - All Portals,All,Infrastructure,$apiClient browser fetch wrapper,Done,1,lib/api/client.js,-
SHARED - All Portals,All,Infrastructure,$apiServer server-side fetch wrapper,Done,1,lib/api/server.js,-
SHARED - All Portals,All,Infrastructure,httpOnly session cookie read/write/clear,Done,1,lib/server/session-cookies.js,-
SHARED - All Portals,All,Infrastructure,ApiClientError class + normalizeApiClientError,Done,1,lib/errors/index.js,-
SHARED - All Portals,All,Infrastructure,applyServerErrors (maps API field errors to form),Done,1,lib/errors/index.js,-
SHARED - All Portals,All,Infrastructure,TanStack Query client + global 401 session guard,Done,1,lib/react-query/queryClient.js,-
SHARED - All Portals,All,Infrastructure,Silent token rotation with deduplication,Done,1,app/api/proxy/[...path]/route.js,POST /api/v1/auth/refresh
SHARED - All Portals,All,Infrastructure,CSRF header enforcement on all mutating requests,Done,1,app/api/proxy/[...path]/route.js,-
SHARED - All Portals,All,Layout,"Dashboard layout (Sidebar, Header, NotificationBell, ProfileDropdown)",Done,1,layout/dashboard/,-
SHARED - All Portals,All,Layout,"Sidebar nav data per portal (items, labels, portal meta)",Done,1,data/sidebar.data.js,-
SHARED - All Portals,All,Notifications,Notification bell UI (icon + badge),Done,2,layout/dashboard/NotificationBell,-
SHARED - All Portals,All,Notifications,Notification panel - fetch and display notifications,To Do,2,layout/dashboard/NotificationBell,"GET /api/v1/notifications, PATCH /api/v1/notifications/:id/read, DELETE /api/v1/notifications/:id"
SHARED - All Portals,All,Notifications,Real-time notification updates (WebSocket or polling),To Do,3,layout/dashboard/NotificationBell,WS /ws/notifications or GET /api/v1/notifications (poll)
SHARED - All Portals,All,Profile,"Edit profile form (name, phone, timezone, locale, bio)",Done,2,/profile,PATCH /api/v1/users/me
SHARED - All Portals,All,Profile,Avatar upload (crop + upload),To Do,3,/profile,POST /api/v1/users/me/avatar
SHARED - All Portals,All,Profile,Change password form (current + new + confirm),To Do,2,/profile,POST /api/v1/auth/change-password
SHARED - All Portals,All,Settings,Notification preferences (email/in-app toggles),To Do,3,/settings,"GET /api/v1/settings/notifications, PATCH /api/v1/settings/notifications"
SHARED - All Portals,All,Settings,Language and date format preferences,To Do,3,/settings,PATCH /api/v1/users/me
APPRENTICE PORTAL - Learning,Apprentice,Auth,Login page + form + Zod validation,Done,1,/login,POST /api/v1/auth/login
APPRENTICE PORTAL - Learning,Apprentice,Auth,Forgot password page + form + success state,Done,1,/forgot-password,POST /api/v1/auth/forgot-password
APPRENTICE PORTAL - Learning,Apprentice,Auth,Reset password page + form + invalid token state,Done,1,/reset-password,POST /api/v1/auth/reset-password
APPRENTICE PORTAL - Learning,Apprentice,Auth,Logout button + session clear,Done,1,-,POST /api/v1/auth/logout
APPRENTICE PORTAL - Learning,Apprentice,Auth,getMe query + useAuthUser hook,Done,1,-,GET /api/v1/auth/me
APPRENTICE PORTAL - Learning,Apprentice,Dashboard,"Dashboard home page (layout, quick actions, getting started)",Done,1,/,-
APPRENTICE PORTAL - Learning,Apprentice,Dashboard,"Wire metric cards (Courses In Progress, Assessments Due, Progress %, Reports)",To Do,1,/,GET /api/v1/apprentice/dashboard/summary
APPRENTICE PORTAL - Learning,Apprentice,Courses,Course list with status tab filters (All / Live / Drafts / Archived),To Do,1,/courses,GET /api/v1/courses?status=&page=&limit=
APPRENTICE PORTAL - Learning,Apprentice,Courses,Live courses filtered list,To Do,1,/courses/live,GET /api/v1/courses?status=live
APPRENTICE PORTAL - Learning,Apprentice,Courses,Draft courses filtered list,To Do,1,/courses/drafts,GET /api/v1/courses?status=draft
APPRENTICE PORTAL - Learning,Apprentice,Courses,Archived courses filtered list,To Do,1,/courses/archived,GET /api/v1/courses?status=archived
APPRENTICE PORTAL - Learning,Apprentice,Courses,"Create course form (title, description, objectives, standard, duration)",To Do,1,/courses,POST /api/v1/courses
APPRENTICE PORTAL - Learning,Apprentice,Courses,Edit course form (pre-filled),To Do,1,/courses/:id,"GET /api/v1/courses/:id, PATCH /api/v1/courses/:id"
APPRENTICE PORTAL - Learning,Apprentice,Courses,Publish / archive / restore course action,To Do,1,/courses/:id,PATCH /api/v1/courses/:id/status
APPRENTICE PORTAL - Learning,Apprentice,Courses,Delete draft course,To Do,2,/courses/:id,DELETE /api/v1/courses/:id
APPRENTICE PORTAL - Learning,Apprentice,Courses,"Course detail view (modules list, learner count, progress)",To Do,1,/courses/:id,GET /api/v1/courses/:id
APPRENTICE PORTAL - Learning,Apprentice,Courses,Course builder - add / edit / delete modules,To Do,1,/courses/:id/builder,"POST /api/v1/courses/:id/modules, PATCH /api/v1/courses/:id/modules/:mid, DELETE /api/v1/courses/:id/modules/:mid"
APPRENTICE PORTAL - Learning,Apprentice,Courses,Module reorder (drag-and-drop),To Do,2,/courses/:id/builder,PATCH /api/v1/courses/:id/modules/order
APPRENTICE PORTAL - Learning,Apprentice,Courses,"Module content upload (video, document, quiz)",To Do,2,/courses/:id/builder,POST /api/v1/courses/:id/modules/:mid/content
APPRENTICE PORTAL - Learning,Apprentice,Courses,SCORM package upload and player,To Do,3,/courses/:id/builder,POST /api/v1/courses/:id/modules/:mid/scorm
APPRENTICE PORTAL - Learning,Apprentice,Courses,Duplicate course,To Do,3,/courses,POST /api/v1/courses/:id/duplicate
APPRENTICE PORTAL - Learning,Apprentice,Curriculum,Curriculum list,To Do,2,/curriculum,GET /api/v1/curriculums
APPRENTICE PORTAL - Learning,Apprentice,Curriculum,Create / edit curriculum with phases,To Do,2,/curriculum,"POST /api/v1/curriculums, PATCH /api/v1/curriculums/:id"
APPRENTICE PORTAL - Learning,Apprentice,Curriculum,Map KSBs to curriculum units,To Do,2,/curriculum/:id,"GET /api/v1/ksbs, PATCH /api/v1/curriculums/:id/ksb-mappings"
APPRENTICE PORTAL - Learning,Apprentice,Learners,"Learner roster table (name, cohort, progress, status)",To Do,1,/learners,GET /api/v1/learners?page=&status=&cohort=
APPRENTICE PORTAL - Learning,Apprentice,Learners,Enrol learner (assign to cohort/course),To Do,1,/learners,POST /api/v1/learners
APPRENTICE PORTAL - Learning,Apprentice,Learners,"Learner detail page (courses, assessments, attendance, notes)",To Do,1,/learners/:id,GET /api/v1/learners/:id
APPRENTICE PORTAL - Learning,Apprentice,Learners,Withdraw / suspend learner with reason,To Do,2,/learners/:id,PATCH /api/v1/learners/:id/status
APPRENTICE PORTAL - Learning,Apprentice,Learners,Learner progress breakdown (per course/module),To Do,2,/learners/:id,GET /api/v1/learners/:id/progress
APPRENTICE PORTAL - Learning,Apprentice,Learners,Bulk CSV learner enrolment / import,To Do,3,/learners,POST /api/v1/learners/bulk-import
APPRENTICE PORTAL - Learning,Apprentice,Learners,Off-the-job hours log per learner,To Do,2,/learners/:id,"GET /api/v1/learners/:id/otj-hours, POST /api/v1/learners/:id/otj-hours"
APPRENTICE PORTAL - Learning,Apprentice,Learners,Attendance tracking per learner,To Do,2,/learners/:id,"GET /api/v1/learners/:id/attendance, POST /api/v1/learners/:id/attendance"
APPRENTICE PORTAL - Learning,Apprentice,Assessments,"Assessment list (title, type, due date, submissions count)",To Do,1,/assessments,GET /api/v1/assessments?courseId=&status=
APPRENTICE PORTAL - Learning,Apprentice,Assessments,"Create assessment (quiz, assignment, observation, rubric)",To Do,1,/assessments,POST /api/v1/assessments
APPRENTICE PORTAL - Learning,Apprentice,Assessments,Question bank / assessment templates,To Do,3,/assessments,GET /api/v1/assessments/question-bank
APPRENTICE PORTAL - Learning,Apprentice,Assessments,Submissions inbox (learner submissions awaiting grading),To Do,1,/assessments/:id/submissions,GET /api/v1/assessments/:id/submissions
APPRENTICE PORTAL - Learning,Apprentice,Assessments,Grade submission + add feedback,To Do,1,/assessments/:id/submissions/:sid,PATCH /api/v1/assessments/:id/submissions/:sid/grade
APPRENTICE PORTAL - Learning,Apprentice,Assessments,Assessment results summary per cohort,To Do,2,/assessments/:id,GET /api/v1/assessments/:id/results
APPRENTICE PORTAL - Learning,Apprentice,Progress,"Programme-level progress overview (cohort %, on-track vs at-risk)",To Do,1,/progress,GET /api/v1/progress/overview
APPRENTICE PORTAL - Learning,Apprentice,Progress,Per-learner progress list with risk flag,To Do,1,/progress,GET /api/v1/progress/learners
APPRENTICE PORTAL - Learning,Apprentice,Progress,Upcoming review and EPA milestone dates,To Do,2,/progress,GET /api/v1/progress/milestones
APPRENTICE PORTAL - Learning,Apprentice,Reports,"Reports hub (links to sub-reports, saved reports list)",To Do,2,/reports,-
APPRENTICE PORTAL - Learning,Apprentice,Reports,"Completion report (rates by cohort/period, certificates, leavers)",To Do,2,/reports/completion,GET /api/v1/reports/completion?cohortId=&dateFrom=&dateTo=
APPRENTICE PORTAL - Learning,Apprentice,Reports,"Engagement report (logins, time on platform, content interactions)",To Do,2,/reports/engagement,GET /api/v1/reports/engagement?cohortId=&dateFrom=&dateTo=
APPRENTICE PORTAL - Learning,Apprentice,Reports,Export report to CSV or PDF,To Do,3,/reports,POST /api/v1/reports/export
APPRENTICE PORTAL - Learning,Apprentice,Analytics,"Programme analytics (enrolment trends, pass rates, achievement rates)",To Do,2,/analytics,GET /api/v1/analytics/apprentice/programme?dateFrom=&dateTo=
APPRENTICE PORTAL - Learning,Apprentice,Analytics,Learner performance distribution (grade histogram),To Do,3,/analytics,GET /api/v1/analytics/apprentice/performance
APPRENTICE PORTAL - Learning,Apprentice,Profile,Edit profile form + avatar upload + change password,Partial,2,/profile,"PATCH /api/v1/users/me, POST /api/v1/users/me/avatar, POST /api/v1/auth/change-password"
APPRENTICE PORTAL - Learning,Apprentice,Settings,Notification preferences,To Do,3,/settings,"GET /api/v1/settings/notifications, PATCH /api/v1/settings/notifications"
EMPLOYER PORTAL - Talent Hub,Employer,Auth,Signup page + form + Zod validation,Done,1,/signup,POST /api/v1/auth/signup
EMPLOYER PORTAL - Talent Hub,Employer,Auth,Verify email page + auto-verify + resend with 5-min cooldown,Done,1,/verify-email,"POST /api/v1/auth/verify-email, POST /api/v1/auth/resend-verification"
EMPLOYER PORTAL - Talent Hub,Employer,Auth,Login page + form,Done,1,/login,POST /api/v1/auth/login
EMPLOYER PORTAL - Talent Hub,Employer,Auth,Forgot password page + form + success state,Done,1,/forgot-password,POST /api/v1/auth/forgot-password
EMPLOYER PORTAL - Talent Hub,Employer,Auth,Reset password page + form + invalid token state,Done,1,/reset-password,POST /api/v1/auth/reset-password
EMPLOYER PORTAL - Talent Hub,Employer,Auth,Logout button + session clear,Done,1,-,POST /api/v1/auth/logout
EMPLOYER PORTAL - Talent Hub,Employer,Auth,getMe query + useAuthUser hook,Done,1,-,GET /api/v1/auth/me
EMPLOYER PORTAL - Talent Hub,Employer,Organisation,"Create organisation form (name, UKPRN, address, contact, website)",Done,1,/onboarding,POST /api/v1/organisations
EMPLOYER PORTAL - Talent Hub,Employer,Dashboard,"Dashboard home (layout, quick actions, getting started, org card, profile card)",Done,1,/,-
EMPLOYER PORTAL - Talent Hub,Employer,Dashboard,"Wire metric cards (Open Positions, New Applications, Active Apprentices, Interviews Booked)",To Do,1,/,GET /api/v1/employer/dashboard/summary
EMPLOYER PORTAL - Talent Hub,Employer,Dashboard,Getting started checklist wired to real completion states,To Do,2,/,GET /api/v1/employer/onboarding/status
EMPLOYER PORTAL - Talent Hub,Employer,Jobs,"Job listings table (title, status, applicant count, posted date)",To Do,1,/jobs,GET /api/v1/jobs?status=&page=&limit=
EMPLOYER PORTAL - Talent Hub,Employer,Jobs,"Create job form (title, description, location, salary, standard, deadline)",To Do,1,/jobs,POST /api/v1/jobs
EMPLOYER PORTAL - Talent Hub,Employer,Jobs,Edit job form (pre-filled),To Do,1,/jobs/:id,"GET /api/v1/jobs/:id, PATCH /api/v1/jobs/:id"
EMPLOYER PORTAL - Talent Hub,Employer,Jobs,Publish / archive / close job status action,To Do,1,/jobs/:id,PATCH /api/v1/jobs/:id/status
EMPLOYER PORTAL - Talent Hub,Employer,Jobs,Delete draft job,To Do,2,/jobs/:id,DELETE /api/v1/jobs/:id
EMPLOYER PORTAL - Talent Hub,Employer,Jobs,Job detail view with applicant count and stage breakdown,To Do,1,/jobs/:id,GET /api/v1/jobs/:id
EMPLOYER PORTAL - Talent Hub,Employer,Jobs,Multi-channel job board syndication,To Do,3,/jobs/:id,POST /api/v1/jobs/:id/publish-external
EMPLOYER PORTAL - Talent Hub,Employer,Applications,All applications list with search and status filter,To Do,1,/applications,GET /api/v1/applications?status=&jobId=&search=&page=
EMPLOYER PORTAL - Talent Hub,Employer,Applications,Under review applications list,To Do,1,/applications/review,GET /api/v1/applications?status=review
EMPLOYER PORTAL - Talent Hub,Employer,Applications,Shortlisted applications list,To Do,1,/applications/shortlisted,GET /api/v1/applications?status=shortlisted
EMPLOYER PORTAL - Talent Hub,Employer,Applications,Rejected applications list,To Do,1,/applications/rejected,GET /api/v1/applications?status=rejected
EMPLOYER PORTAL - Talent Hub,Employer,Applications,"Application detail (CV, cover letter, contact, timeline)",To Do,1,/applications/:id,"GET /api/v1/applications/:id, GET /api/v1/applications/:id/timeline"
EMPLOYER PORTAL - Talent Hub,Employer,Applications,Move application stage (review / shortlist / reject / interview),To Do,1,/applications/:id,PATCH /api/v1/applications/:id/status
EMPLOYER PORTAL - Talent Hub,Employer,Applications,"Interview scheduling (date/time, interviewer, video/room link)",To Do,2,/applications/:id,POST /api/v1/applications/:id/interview
EMPLOYER PORTAL - Talent Hub,Employer,Applications,Interview feedback / scorecard,To Do,2,/applications/:id/interview,PATCH /api/v1/applications/:id/interview/:iid/feedback
EMPLOYER PORTAL - Talent Hub,Employer,Applications,Offer letter generation + send + track acceptance,To Do,2,/applications/:id,POST /api/v1/applications/:id/offer
EMPLOYER PORTAL - Talent Hub,Employer,Applications,Bulk reject / export selected applications,To Do,3,/applications,POST /api/v1/applications/bulk-action
EMPLOYER PORTAL - Talent Hub,Employer,Apprentices,"Active apprentice roster (name, role, programme, cohort, progress)",To Do,1,/apprentices,GET /api/v1/apprentices?status=&page=
EMPLOYER PORTAL - Talent Hub,Employer,Apprentices,"Apprentice detail (progress, assessments due, attendance, notes)",To Do,1,/apprentices/:id,"GET /api/v1/apprentices/:id, GET /api/v1/apprentices/:id/progress"
EMPLOYER PORTAL - Talent Hub,Employer,Apprentices,Invite apprentice by email (send onboarding invite),To Do,2,/apprentices,POST /api/v1/apprentices/invite
EMPLOYER PORTAL - Talent Hub,Employer,Onboarding,"Onboarding checklist list per apprentice (status, steps)",To Do,2,/onboarding,GET /api/v1/onboarding/checklists
EMPLOYER PORTAL - Talent Hub,Employer,Onboarding,Mark onboarding step complete / upload document,To Do,2,/onboarding,PATCH /api/v1/onboarding/checklists/:id/step
EMPLOYER PORTAL - Talent Hub,Employer,Analytics,"Analytics overview (applications over time, funnel, time-to-hire)",To Do,2,/analytics,GET /api/v1/analytics/employer/hiring?dateFrom=&dateTo=
EMPLOYER PORTAL - Talent Hub,Employer,Analytics,"Hiring funnel (stage conversion rates, drop-off, source breakdown)",To Do,2,/analytics/hiring,GET /api/v1/analytics/employer/hiring
EMPLOYER PORTAL - Talent Hub,Employer,Analytics,"Cost analytics (cost-per-hire, levy spend, training costs, budget vs actual)",To Do,3,/analytics/cost,GET /api/v1/analytics/employer/cost
EMPLOYER PORTAL - Talent Hub,Employer,Analytics,"Performance analytics (apprentice completion, attendance, EPA pass rates)",To Do,3,/analytics/performance,GET /api/v1/analytics/employer/performance
EMPLOYER PORTAL - Talent Hub,Employer,Billing,"Current subscription plan display (plan, renewal date, seats)",To Do,2,/billing,GET /api/v1/billing/subscription
EMPLOYER PORTAL - Talent Hub,Employer,Billing,Invoice list with PDF download,To Do,2,/billing,GET /api/v1/billing/invoices
EMPLOYER PORTAL - Talent Hub,Employer,Billing,Add / remove payment methods (Stripe),To Do,2,/billing,"GET /api/v1/billing/payment-methods, POST /api/v1/billing/payment-methods, DELETE /api/v1/billing/payment-methods/:id"
EMPLOYER PORTAL - Talent Hub,Employer,Billing,Apprenticeship levy balance tracker,To Do,3,/billing,GET /api/v1/billing/levy
EMPLOYER PORTAL - Talent Hub,Employer,Profile,Edit profile + avatar upload + change password,To Do,2,/profile,"PATCH /api/v1/users/me, POST /api/v1/users/me/avatar, POST /api/v1/auth/change-password"
EMPLOYER PORTAL - Talent Hub,Employer,Settings,Notification preferences,To Do,3,/settings,"GET /api/v1/settings/notifications, PATCH /api/v1/settings/notifications"
EMPLOYER PORTAL - Talent Hub,Employer,Settings,"Update organisation details (name, contact, logo)",Done,2,/settings,"PATCH /api/v1/organisations/:id, POST /api/v1/organisations/:id/logo"
EMPLOYER PORTAL - Talent Hub,Employer,Settings,"Team member management (invite, assign roles, remove)",Partial,2,/settings,"GET /api/v1/organisations/:id/members, POST /api/v1/organisations/:id/members/invite, DELETE /api/v1/organisations/:id/members/:uid"
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Auth,Signup page + form,Done,1,/signup,POST /api/v1/auth/signup
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Auth,Verify email page + resend cooldown,Done,1,/verify-email,"POST /api/v1/auth/verify-email, POST /api/v1/auth/resend-verification"
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Auth,Login page + form,Done,1,/login,POST /api/v1/auth/login
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Auth,Forgot password + Reset password,Done,1,"/forgot-password, /reset-password","POST /api/v1/auth/forgot-password, POST /api/v1/auth/reset-password"
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Auth,Logout,Done,1,-,POST /api/v1/auth/logout
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Organisation,"Create organisation form (name, UKPRN, address, contact)",Done,1,/onboarding,POST /api/v1/organisations
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Dashboard,"Dashboard home (layout, quick actions, getting started, org card)",Done,1,/,-
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Dashboard,"Wire metric cards (Active Learners, Reviews Due, ILR Readiness %, Ofsted Score)",To Do,1,/,GET /api/v1/provider/dashboard/summary
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Cohorts,"Cohort list (name, standard, employer, learner count, status)",New Page,1,/cohort,GET /api/v1/cohorts?page=&status=
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Cohorts,"Create cohort form (standard, employer partner, planned dates)",New Page,1,/cohort,POST /api/v1/cohorts
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Cohorts,"Cohort detail (learners, funding, milestones, progress)",New Page,1,/cohort/:id,GET /api/v1/cohorts/:id
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Cohorts,Assign / remove learners from cohort,New Page,1,/cohort/:id,PATCH /api/v1/cohorts/:id/learners
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,At-Risk,"At-risk learner list (name, cohort, risk reason, RAG level)",New Page,1,/at-risk,GET /api/v1/learners/at-risk
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,At-Risk,Log intervention action per at-risk learner,New Page,1,/at-risk,POST /api/v1/learners/:id/interventions
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,At-Risk,Resolve / update risk flag,New Page,2,/at-risk,PATCH /api/v1/learners/:id/risk-flag
PROVIDER PORTAL - Course Hub (UK Apprenticeship Training Provider),Provider,Ofsted Hub,SAR (Self-Assessment Report) builder with grade inputs per inspection area,New Page,2,/ofsted,"GET /api/v1/ofsted/sar, POST /api/v1/ofsted/sar"
